# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.9.0
#@/tick	20263
#@/user_id	c9f9f78f-86f8-43c0-aa8d-5b4cd8469c68
a 	啊	c=33 d=6.36438 t=20263
en 	嗯	c=93 d=11.8202 t=20263
er 	而	c=1 d=0.860708 t=20263
er qie 	而且	c=14 d=2.31782 t=20263
er wei 	二维	c=1 d=0.909373 t=20263
er yi 	而已	c=1 d=0.970446 t=20263
fa 	发	c=7 d=2.81315 t=20263
fa bu 	发布	c=1 d=0.774916 t=20263
fa cai zhi fu 	发财致富	c=1 d=0.786628 t=20263
fa chu 	发出	c=2 d=1.18539 t=20263
fa gei ni 	发给你	c=1 d=0.806541 t=20263
fa gei wo 	发给我	c=1 d=0.843665 t=20263
fa guo lai 	发过来	c=1 d=0.210136 t=20263
fa qi 	发起	c=3 d=1.96845 t=20263
fa song 	发送	c=8 d=2.48044 t=20263
fa xian 	发现	c=2 d=1.67513 t=20263
fa xiao xi 	发消息	c=1 d=0.895834 t=20263
fa xing ban 	发行版	c=1 d=0.810584 t=20263
fa yi xia 	发一下	c=3 d=1.44321 t=20263
fa zhan 	发展	c=2 d=1.43787 t=20263
fan 	反	c=1 d=0.638844 t=20263
fan er 	反而	c=1 d=0.904837 t=20263
fan hui 	返回	c=45 d=5.9908 t=20263
fan hui de 	返回的	c=2 d=1.44687 t=20263
fan qiang 	翻墙	c=1 d=0.985112 t=20263
fan tiao shi 	反调试	c=1 d=0.904837 t=20263
fan wei 	范围	c=3 d=1.20683 t=20263
fan wen 	范文	c=2 d=0.9466 t=20263
fan xie gang 	反斜杠	c=1 d=0.810584 t=20263
fan yi 	翻译	c=15 d=4.65499 t=20263
fan zheng 	反正	c=7 d=2.59077 t=20263
fang 	放	c=17 d=4.66613 t=20263
fang 	防	c=8 d=3.14748 t=20263
fang an 	方案	c=1 d=0.763379 t=20263
fang bian 	方便	c=6 d=2.15908 t=20263
fang dao 	放到	c=1 d=0.941765 t=20263
fang fa 	方法	c=2 d=0.891868 t=20263
fang hu 	防护	c=35 d=6.59919 t=20263
fang jian 	房间	c=1 d=0.814647 t=20263
fang jin qu 	放进去	c=1 d=0.722527 t=20263
fang mian 	方面	c=1 d=0.960789 t=20263
fang ru 	放入	c=1 d=0.752014 t=20263
fang shang 	放上	c=2 d=0.704688 t=20263
fang shang qu 	放上去	c=5 d=1.90486 t=20263
fang shi 	方式	c=32 d=3.34735 t=20263
fang wen 	访问	c=57 d=6.42504 t=20263
fang xiang 	方向	c=1 d=0.634448 t=20263
fang yu 	防御	c=1 d=0.694197 t=20263
fang zai 	放在	c=1 d=0.130029 t=20263
fang zhi 	防止	c=1 d=0.806541 t=20263
fang zi 	房子	c=2 d=1.2033 t=20263
fei 	非	c=4 d=1.29051 t=20263
fei chang 	非常	c=2 d=1.36107 t=20263
fei jin 	费劲	c=1 d=0.726149 t=20263
fei qi 	废弃	c=4 d=3.4277 t=20263
fen bian 	分辨	c=2 d=1.10087 t=20263
fen bie 	分别	c=3 d=1.86537 t=20263
fen bu qing 	分不清	c=1 d=0.895834 t=20263
fen ge xian 	分隔线	c=1 d=0.873716 t=20263
fen pei 	分配	c=8 d=2.70708 t=20263
fen ping 	分屏	c=1 d=1 t=20263
fen qu 	分区	c=30 d=12.471 t=20263
fen xi 	分析	c=1 d=0.980199 t=20263
fen zhong 	分钟	c=11 d=4.14932 t=20263
feng jin 	封禁	c=1 d=0.683861 t=20263
feng zhuang 	封装	c=2 d=1.65128 t=20263
fou ze 	否则	c=1 d=0.666977 t=20263
fu ce 	复测	c=1 d=0.657047 t=20263
fu fei 	付费	c=1 d=0.201897 t=20263
fu hao 	符号	c=2 d=1.75315 t=20263
fu he 	符合	c=1 d=0.771052 t=20263
fu ji 	父级	c=1 d=0.965605 t=20263
fu ke 	复刻	c=2 d=1.93239 t=20263
fu wu 	服务	c=61 d=8.72504 t=20263
fu wu qi 	服务器	c=6 d=3.26721 t=20263
fu za 	复杂	c=1 d=0.565525 t=20263
fu ze 	负责	c=2 d=1.50915 t=20263
fu zhi 	复制	c=3 d=2.36843 t=20263
gai 	改	c=31 d=4.77244 t=20263
gai cheng 	改成	c=12 d=1.75385 t=20263
gai dong 	改动	c=4 d=1.54782 t=20263
gai guo 	改过	c=2 d=1.64983 t=20263
gai hao 	盖好	c=1 d=0.831104 t=20263
gai hao le 	改好了	c=1 d=1 t=20263
gai le 	改了	c=22 d=5.0671 t=20263
gai wei 	改为	c=1 d=0.562705 t=20263
gai xia 	改下	c=6 d=2.33108 t=20263
gai yi gai 	改一改	c=1 d=0.782705 t=20263
gai yi xia 	改一下	c=1 d=0.814647 t=20263
gan dao 	感到	c=1 d=0.690734 t=20263
gan jue 	感觉	c=18 d=3.11952 t=20263
gan ma 	干嘛	c=2 d=1.24801 t=20263
gan shen me 	干什么	c=1 d=0.985112 t=20263
gan su sheng 	甘肃省	c=1 d=0.831104 t=20263
gan xie 	感谢	c=1 d=0.900325 t=20263
gang 	刚	c=5 d=2.49237 t=20263
gang gang 	刚刚	c=8 d=2.83571 t=20263
gang zhun bei 	刚准备	c=2 d=1.75224 t=20263
gao 	搞	c=1 d=0.927743 t=20263
gao 	高	c=3 d=1.26219 t=20263
gao bu qing chu 	搞不清楚	c=1 d=0.873716 t=20263
gao de 	搞得	c=1 d=0.70822 t=20263
gao fang 	高仿	c=1 d=0.687289 t=20263
gao hao 	搞好	c=1 d=0.771052 t=20263
gao ji 	高级	c=3 d=1.23939 t=20263
gao jing 	告警	c=29 d=10.6835 t=20263
gao le 	搞了	c=1 d=0.873716 t=20263
gao su ni 	告诉你	c=1 d=0.818731 t=20263
gao su wo 	告诉我	c=1 d=0.970446 t=20263
ge 	个	c=30 d=5.01704 t=20263
ge 	哥	c=37 d=6.01776 t=20263
ge bie 	个别	c=1 d=0.557106 t=20263
ge ge 	各个	c=1 d=0.440432 t=20263
ge li 	隔离	c=1 d=0.965605 t=20263
ge ren 	个人	c=2 d=1.38294 t=20263
ge shi 	格式	c=12 d=3.30727 t=20263
ge shi hua 	格式化	c=9 d=2.20409 t=20263
ge shu 	个数	c=1 d=0.843665 t=20263
ge wo 	个我	c=1 d=0.88692 t=20263
ge xing hua 	个性化	c=2 d=1.12407 t=20263
ge zhong 	各种	c=1 d=0.955997 t=20263
gei 	给	c=15 d=2.34073 t=20263
gei ding 	给定	c=1 d=0.647265 t=20263
gei ni 	给你	c=12 d=2.71769 t=20263
gei wo 	给我	c=16 d=3.74367 t=20263
gen 	根	c=3 d=1.97165 t=20263
gen 	跟	c=2 d=1.47431 t=20263
gen ben 	根本	c=1 d=0.327915 t=20263
gen ju 	根据	c=3 d=1.57777 t=20263
gen lu jing 	根路径	c=3 d=1.08591 t=20263
gen mu lu 	根目录	c=2 d=0.579908 t=20263
gen ni shuo 	跟你说	c=2 d=1.40702 t=20263
gen wo 	跟我	c=1 d=0.970446 t=20263
gen zong 	跟踪	c=13 d=6.86331 t=20263
geng 	更	c=2 d=0.777503 t=20263
geng gai 	更改	c=6 d=2.20115 t=20263
geng hao 	更好	c=3 d=1.41036 t=20263
geng jian dan 	更简单	c=1 d=0.97531 t=20263
geng kuai 	更快	c=1 d=0.600496 t=20263
geng shi he 	更适合	c=1 d=0.509156 t=20263
geng xin 	更新	c=23 d=5.11241 t=20263
gong geng 	躬耕	c=0 d=0.0289384 t=20263
gong geng ni 	躬耕你	c=1 d=0.290835 t=20263
gong ju 	工具	c=25 d=9.91832 t=20263
gong neng 	功能	c=20 d=8.01581 t=20263
gong si 	公司	c=5 d=3.45223 t=20263
gong zuo 	工作	c=8 d=2.8846 t=20263
gong zuo liang 	工作量	c=1 d=0.377192 t=20263
gong zuo qu 	工作区	c=1 d=0.215456 t=20263
gou 	够	c=1 d=0.852144 t=20263
gou bu gou 	够不够	c=1 d=0.603506 t=20263
gou jian 	构建	c=1 d=0.588605 t=20263
gou le 	够了	c=2 d=1.83173 t=20263
gou yong 	够用	c=1 d=0.763379 t=20263
gu ding 	固定	c=11 d=2.25509 t=20263
gu er 	孤儿	c=1 d=0.540641 t=20263
gu ge 	谷歌	c=1 d=0.205975 t=20263
gu ji 	估计	c=30 d=3.5895 t=20263
gu ji shi 	估计是	c=1 d=0.591555 t=20263
gu lv 	顾虑	c=2 d=1.53601 t=20263
gu zhang 	故障	c=2 d=1.73451 t=20263
gua 	挂	c=2 d=1.91813 t=20263
gua le 	挂了	c=3 d=1.70017 t=20263
gua zai 	挂载	c=14 d=7.03828 t=20263
guan 	关	c=4 d=1.54304 t=20263
guan 	管	c=4 d=2.59813 t=20263
guan bi 	关闭	c=15 d=5.49017 t=20263
guan fang 	官方	c=2 d=0.932056 t=20263
guan ji 	关机	c=3 d=2.65187 t=20263
guan jian zi 	关键字	c=1 d=0.771052 t=20263
guan le 	关了	c=4 d=1.5181 t=20263
guan li 	管理	c=16 d=4.20643 t=20263
guan li qi 	管理器	c=2 d=0.945497 t=20263
guan li yuan 	管理员	c=2 d=1.17638 t=20263
guan lian 	关联	c=2 d=1.43559 t=20263
guan tou 	罐头	c=1 d=0.786628 t=20263
guan xi 	关系	c=8 d=2.47125 t=20263
guan yu 	关于	c=3 d=1.12917 t=20263
guang 	光	c=1 d=0.865022 t=20263
guang dong 	广东	c=1 d=0.537944 t=20263
guang dong sheng 	广东省	c=5 d=3.09219 t=20263
gui 	鬼	c=0 d=0.0704688 t=20263
gui dian 	贵点	c=1 d=0.718924 t=20263
gui fan 	规范	c=1 d=0.472367 t=20263
gui gang shi 	贵港市	c=1 d=0.532592 t=20263
gui yang 	贵阳	c=1 d=0.729789 t=20263
gui yang zi 	鬼样子	c=1 d=0.70822 t=20263
gui ze 	规则	c=12 d=5.6993 t=20263
gui zhou 	贵州	c=4 d=3.06569 t=20263
gun 	滚	c=1 d=0.99005 t=20263
gun dong 	滚动	c=2 d=1.53836 t=20263
gun dong tiao 	滚动条	c=1 d=0.818731 t=20263
guo 	过	c=16 d=4.489 t=20263
guo cheng 	过程	c=1 d=0.960789 t=20263
guo cheng zhong 	过程中	c=1 d=0.650509 t=20263
guo hou 	过后	c=10 d=4.035 t=20263
guo lai 	过来	c=10 d=3.672 t=20263
guo le 	过了	c=4 d=1.45835 t=20263
guo lv 	过滤	c=34 d=9.25374 t=20263
guo lv lai 	过滤来	c=1 d=0.666977 t=20263
guo nei 	国内	c=7 d=2.64088 t=20263
guo qi 	过期	c=2 d=1.31966 t=20263
guo qu 	过去	c=4 d=2.01334 t=20263
guo qu le 	过去了	c=1 d=0.97531 t=20263
guo ran 	果然	c=1 d=0.680451 t=20263
guo shi 	过时	c=1 d=0.882497 t=20263
guo wai 	国外	c=13 d=4.35101 t=20263
guo yi xia 	过一下	c=2 d=1.02695 t=20263
ha 	哈	c=1 d=0.882497 t=20263
hai 	还	c=9 d=2.1753 t=20263
hai bu shi 	还不是	c=1 d=0.786628 t=20263
hai bu zhi dao 	还不知道	c=1 d=0.843665 t=20263
hai dei 	还得	c=3 d=1.2914 t=20263
hai hao 	还好	c=3 d=1.39929 t=20263
hai hui 	还会	c=4 d=1.47702 t=20263
hai ke yi 	还可以	c=3 d=1.01017 t=20263
hai mei 	还没	c=7 d=3.19789 t=20263
hai mei hao 	还没好	c=1 d=0.932394 t=20263
hai mei you 	还没有	c=1 d=0.222017 t=20263
hai neng 	还能	c=1 d=0.847894 t=20263
hai pa 	害怕	c=1 d=0.697676 t=20263
hai qu 	还去	c=1 d=0.600496 t=20263
hai shi 	还是	c=90 d=8.94382 t=20263
hai xing 	还行	c=3 d=1.48653 t=20263
hai xing ba 	还行吧	c=0 d=0.0937067 t=20263
hai xu yao 	还需要	c=1 d=0.985112 t=20263
hai yao 	还要	c=7 d=3.25787 t=20263
hai yi wei 	还以为	c=2 d=1.55127 t=20263
hai you 	还有	c=21 d=3.88173 t=20263
hai you mei you 	还有没有	c=1 d=0.965605 t=20263
hai zai 	还在	c=4 d=3.00139 t=20263
hai zhen 	还真	c=0 d=0.0704688 t=20263
hai zhen bu tai hao 	还真不太好	c=1 d=0.70822 t=20263
hai zhen shi 	还真是	c=1 d=0.900325 t=20263
han hua 	汉化	c=1 d=0.980199 t=20263
han shu 	函数	c=2 d=1.32134 t=20263
hang 	行	c=3 d=2.16269 t=20263
hao 	号	c=3 d=2.71214 t=20263
hao 	好	c=62 d=6.94104 t=20263
hao de 	好的	c=1 d=0.985112 t=20263
hao di fang 	好地方	c=1 d=0.774916 t=20263
hao dian 	好点	c=6 d=1.54506 t=20263
hao duo 	好多	c=1 d=0.869358 t=20263
hao ji qi 	好几起	c=1 d=0.831104 t=20263
hao kan 	好看	c=1 d=0.995012 t=20263
hao kun 	好困	c=1 d=0.865022 t=20263
hao le 	好了	c=11 d=3.51055 t=20263
hao men 	好闷	c=1 d=0.860708 t=20263
hao miao 	毫秒	c=1 d=0.394554 t=20263
hao nong dian 	好弄点	c=1 d=0.467666 t=20263
hao qi guai 	好奇怪	c=1 d=0.392586 t=20263
hao re 	好热	c=1 d=0.856415 t=20263
hao shen cai 	好身材	c=1 d=1 t=20263
hao xiang 	好像	c=110 d=7.87087 t=20263
hao xing 	号型	c=1 d=0.701173 t=20263
hao yong 	好用	c=1 d=0.985112 t=20263
he 	和	c=127 d=11.8872 t=20263
he 	喝	c=3 d=2.56474 t=20263
he bei sheng 	河北省	c=2 d=0.941819 t=20263
he duo 	喝多	c=1 d=0.414783 t=20263
he fei shi 	合肥市	c=1 d=0.782705 t=20263
he guo 	喝过	c=1 d=0.752014 t=20263
he ji 	合集	c=1 d=0.438235 t=20263
he ka fei 	喝咖啡	c=1 d=0.798516 t=20263
he lan 	荷兰	c=2 d=1.85551 t=20263
he ni 	和你	c=2 d=1.79489 t=20263
he shi 	合适	c=1 d=0.729789 t=20263
he wo 	和我	c=5 d=2.50726 t=20263
he wo ba ma 	和我爸妈	c=1 d=0.873716 t=20263
he xin 	核心	c=3 d=1.83056 t=20263
he zu 	合租	c=9 d=5.50547 t=20263
hei an 	黑暗	c=0 d=0.0690734 t=20263
hei an pa 	黑暗怕	c=1 d=0.694197 t=20263
hei bai 	黑白	c=6 d=3.7661 t=20263
hei shen hua 	黑神话	c=2 d=1.5677 t=20263
hen 	很	c=2 d=0.600321 t=20263
hen da 	很大	c=1 d=0.491644 t=20263
hen duo 	很多	c=13 d=2.27725 t=20263
hen gan 	很干	c=1 d=0.904837 t=20263
hen hao 	很好	c=1 d=0.856415 t=20263
hen hao kan 	很好看	c=1 d=0.882497 t=20263
hen hao yong 	很好用	c=3 d=1.23182 t=20263
hen jiu 	很久	c=2 d=1.06342 t=20263
hen jiu le 	很久了	c=1 d=0.565525 t=20263
hen ke neng 	很可能	c=2 d=1.40744 t=20263
hen kuai 	很快	c=3 d=1.4637 t=20263
hen nan 	很难	c=2 d=1.15231 t=20263
hen qi guai 	很奇怪	c=3 d=1.539 t=20263
hen re 	很热	c=1 d=0.585669 t=20263
hen shu fu 	很舒服	c=2 d=0.402524 t=20263
hen xiao 	很小	c=1 d=0.453845 t=20263
hou 	后	c=27 d=4.83499 t=20263
hou guo 	后果	c=1 d=0.285076 t=20263
hou men 	后门	c=1 d=0.985112 t=20263
hou mian 	后面	c=16 d=2.55466 t=20263
hou tai 	后台	c=10 d=3.6784 t=20263
hou xu 	后续	c=6 d=1.56827 t=20263
hou zhi 	后置	c=3 d=1.0851 t=20263
hou zhui 	后缀	c=1 d=0.687289 t=20263
hu 	壶	c=1 d=0.375311 t=20263
hu 	胡	c=6 d=1.47942 t=20263
hu bei 	湖北	c=1 d=0.496585 t=20263
hu bei sheng 	湖北省	c=3 d=1.57074 t=20263
hu lve 	忽略	c=4 d=2.07783 t=20263
hu nan 	湖南	c=2 d=1.24592 t=20263
hu nan sheng 	湖南省	c=3 d=2.13097 t=20263
hu zong he 	胡综合	c=1 d=0.932394 t=20263
hua 	话	c=15 d=3.1242 t=20263
hua fen 	划分	c=1 d=0.238115 t=20263
hua ning 	话拧	c=1 d=0.852144 t=20263
hua wei 	华为	c=2 d=1.7215 t=20263
hua zhi 	画质	c=1 d=0.373085 t=20263
huai le 	坏了	c=2 d=0.813233 t=20263
huan 	换	c=6 d=1.83073 t=20263
huan hang 	换行	c=1 d=0.15259 t=20263
huan jing 	环境	c=24 d=7.03382 t=20263
huan le 	换了	c=1 d=0.744532 t=20263
huan yuan 	还原	c=6 d=1.80519 t=20263
hui 	会	c=51 d=5.97698 t=20263
hui bei 	会被	c=2 d=1.50783 t=20263
hui bu hui 	会不会	c=2 d=1.15389 t=20263
hui dao 	回到	c=1 d=0.970446 t=20263
hui du 	灰度	c=1 d=0.941765 t=20263
hui fu 	恢复	c=3 d=1.77619 t=20263
hui gui 	回归	c=1 d=0.66034 t=20263
hui jia 	回家	c=1 d=0.847894 t=20263
hui shi 	会是	c=1 d=0.937067 t=20263
hui yi 	会议	c=9 d=7.0155 t=20263
hui yi 	回忆	c=1 d=0.588605 t=20263
hui you 	会有	c=6 d=3.10627 t=20263
hui yuan 	回源	c=41 d=8.77151 t=20263
hui zhou shi 	惠州市	c=1 d=0.543351 t=20263
hun he 	混合	c=1 d=0.806541 t=20263
hun le 	混了	c=1 d=0.628135 t=20263
hun luan 	混乱	c=2 d=0.987001 t=20263
hun xiao 	混淆	c=1 d=0.891366 t=20263
hun zhe 	混着	c=1 d=0.83527 t=20263
huo 	或	c=7 d=2.3549 t=20263
huo qu 	获取	c=42 d=8.81888 t=20263
huo yue 	活跃	c=1 d=0.786628 t=20263
huo zhe 	或者	c=46 d=6.28328 t=20263
huo zhe shi 	或者是	c=1 d=0.900325 t=20263
ji 	及	c=2 d=1.77568 t=20263
ji 	急	c=1 d=0.66034 t=20263
ji 	机	c=2 d=0.487081 t=20263
ji 	级	c=1 d=0.501576 t=20263
ji 	继	c=1 d=0.951229 t=20263
ji 	记	c=2 d=0.794484 t=20263
ji 	鸡	c=1 d=0.677057 t=20263
ji bai 	几百	c=1 d=0.546074 t=20263
ji ben 	基本	c=10 d=2.41895 t=20263
ji chang 	机场	c=5 d=3.80539 t=20263
ji chu 	基础	c=24 d=11.1968 t=20263
ji ci 	几次	c=5 d=2.0285 t=20263
ji de 	记得	c=7 d=4.64671 t=20263
ji dian 	几点	c=1 d=0.946485 t=20263
ji ge 	几个	c=7 d=2.00894 t=20263
ji hua 	计划	c=1 d=0.451581 t=20263
ji ke 	即可	c=5 d=1.3587 t=20263
ji liu 	激流	c=1 d=0.759572 t=20263
ji lu 	记录	c=65 d=11.5275 t=20263
ji lu shu 	继路数	c=1 d=0.718924 t=20263
ji qi 	机器	c=12 d=3.62326 t=20263
ji qiao 	技巧	c=2 d=0.995012 t=20263
ji qun 	集群	c=1 d=0.637628 t=20263
ji shi ben 	记事本	c=2 d=1.81895 t=20263
ji shi tiao 	几十条	c=1 d=0.895834 t=20263
ji shu bu 	技术部	c=1 d=0.644036 t=20263
ji suan 	计算	c=6 d=3.21723 t=20263
ji xian 	基线	c=15 d=3.52122 t=20263
ji xian 	极限	c=1 d=0.245367 t=20263
ji xu 	继续	c=2 d=1.24977 t=20263
ji xu ning 	继续拧	c=2 d=1.35549 t=20263
ji yao 	纪要	c=4 d=2.95123 t=20263
ji yu 	基于	c=2 d=1.31063 t=20263
ji yu 	给予	c=1 d=0.50409 t=20263
ji zhi 	机制	c=3 d=1.547 t=20263
ji zhong 	几种	c=1 d=0.319819 t=20263
ji zhun 	基准	c=11 d=4.02409 t=20263
jia 	假	c=0 d=0.0802519 t=20263
jia 	加	c=26 d=3.9467 t=20263
jia cu 	加粗	c=1 d=0.927743 t=20263
jia ge 	加个	c=1 d=0.557106 t=20263
jia gu 	加固	c=2 d=1.92644 t=20263
jia le 	加了	c=17 d=4.56995 t=20263
jia li 	家里	c=1 d=0.786628 t=20263
jia mi 	加密	c=4 d=2.63983 t=20263
jia qi lai 	加起来	c=1 d=0.755784 t=20263
jia ru 	加入	c=1 d=0.895834 t=20263
jia shang 	加上	c=4 d=2.30855 t=20263
jia she 	假设	c=1 d=0.522046 t=20263
jia su 	加速	c=17 d=4.36078 t=20263
jia yi ge 	加一个	c=2 d=1.09961 t=20263
jian 	键	c=1 d=0.873716 t=20263
jian ao 	煎熬	c=1 d=0.970446 t=20263
jian ce 	检测	c=32 d=7.28568 t=20263
jian ce 	监测	c=38 d=12.4535 t=20263
jian cha 	检查	c=20 d=4.44317 t=20263
jian chu 	检出	c=4 d=2.39804 t=20263
jian dan 	简单	c=1 d=0.511709 t=20263
jian dao 	见到	c=1 d=0.873716 t=20263
jian ge 	间隔	c=2 d=1.3972 t=20263
jian kong 	监控	c=1 d=0.970446 t=20263
jian li 	建立	c=3 d=1.27189 t=20263
jian li 	简历	c=1 d=0.873716 t=20263
jian pan 	键盘	c=3 d=1.34521 t=20263
jian rong 	兼容	c=3 d=1.31683 t=20263
jian shao 	减少	c=2 d=1.78362 t=20263
jian shu 	键鼠	c=1 d=0.744532 t=20263
jian tie 	剪贴	c=1 d=0.843665 t=20263
jian ting 	监听	c=2 d=1.47421 t=20263
jian yi 	建议	c=7 d=2.60142 t=20263
jiang 	将	c=21 d=4.60789 t=20263
jiang 	江	c=2 d=0.892879 t=20263
jiang su 	江苏	c=1 d=0.718924 t=20263
jiang su sheng 	江苏省	c=1 d=0.574072 t=20263
jiang xi sheng 	江西省	c=2 d=0.935413 t=20263
jiao 	叫	c=2 d=1.74537 t=20263
jiao ban er 	脚板儿	c=1 d=0.941765 t=20263
jiao ben 	脚本	c=8 d=4.23117 t=20263
jiao cha 	交叉	c=2 d=0.790571 t=20263
jiao dian 	焦点	c=1 d=0.172907 t=20263
jiao fu 	交付	c=1 d=0.882497 t=20263
jiao huan 	交换	c=6 d=3.25292 t=20263
jiao wo 	叫我	c=1 d=0.891366 t=20263
jiao yan 	校验	c=3 d=1.38084 t=20263
jiao ying 	较硬	c=0 d=0.0937067 t=20263
jie 	解	c=1 d=0.392586 t=20263
jie bao 	解包	c=1 d=0.970446 t=20263
jie ben 	节本	c=1 d=0.909373 t=20263
jie bu chu lai 	解不出来	c=1 d=0.307279 t=20263
jie chu 	接触	c=1 d=0.701173 t=20263
jie dian 	节点	c=133 d=17.4019 t=20263
jie feng 	解封	c=2 d=1.8793 t=20263
jie guo 	结果	c=21 d=4.7847 t=20263
jie jue 	解决	c=4 d=1.60435 t=20263
jie kou 	接口	c=54 d=8.61898 t=20263
jie lou 	解楼	c=1 d=0.895834 t=20263
jie ma 	解码	c=4 d=2.82971 t=20263
jie mian 	界面	c=23 d=6.09589 t=20263
jie ou 	解耦	c=1 d=0.794534 t=20263
jie qu 	截取	c=1 d=0.83527 t=20263
jie shao 	介绍	c=1 d=0.618783 t=20263
jie shi 	解释	c=1 d=0.213312 t=20263
jie shou 	接收	c=3 d=1.39662 t=20263
jie shu 	结束	c=1 d=0.690734 t=20263
jie tu 	截图	c=4 d=1.95523 t=20263
jie wei 	结尾	c=1 d=0.677057 t=20263
jie xi 	解析	c=36 d=5.93553 t=20263
jin 	仅	c=10 d=2.81037 t=20263
jin 	进	c=3 d=0.97882 t=20263
jin bu qu 	进不去	c=6 d=2.30292 t=20263
jin cheng 	进程	c=3 d=1.98544 t=20263
jin du tiao 	进度条	c=6 d=3.04451 t=20263
jin jiu 	金九	c=0 d=0.0763379 t=20263
jin jiu yin shi 	金九银十	c=1 d=0.767206 t=20263
jin lai 	进来	c=1 d=0.472367 t=20263
jin liang 	尽量	c=1 d=0.467666 t=20263
jin lu 	进路	c=1 d=0.594521 t=20263
jin qu 	进去	c=5 d=2.67917 t=20263
jin ru 	进入	c=7 d=2.27077 t=20263
jin tian 	今天	c=9 d=2.984 t=20263
jin xing 	进行	c=60 d=7.12696 t=20263
jin yi bu 	进一步	c=1 d=0.56836 t=20263
jin yong 	禁用	c=4 d=1.10413 t=20263
jing 	景	c=1 d=0.941765 t=20263
jing chang 	经常	c=2 d=0.637628 t=20263
jing gao 	警告	c=1 d=0.904837 t=20263
jing xi 	精细	c=1 d=0.831104 t=20263
jing xiang 	镜像	c=6 d=2.7163 t=20263
jing zhun 	精准	c=2 d=1.78329 t=20263
jiu 	就	c=119 d=9.26581 t=20263
jiu bi ru 	就比如	c=1 d=0.228779 t=20263
jiu dei 	就得	c=1 d=0.882497 t=20263
jiu hao 	就好	c=1 d=0.856415 t=20263
jiu hao le 	就好了	c=1 d=0.618783 t=20263
jiu hui 	就会	c=5 d=1.61057 t=20263
jiu ke yi 	就可以	c=2 d=0.947923 t=20263
jiu shi 	就是	c=45 d=5.54928 t=20263
jiu shi bu tai 	就是不太	c=1 d=0.831104 t=20263
jiu shuo 	就说	c=1 d=0.960789 t=20263
jiu si 	就死	c=1 d=0.88692 t=20263
jiu suan 	就算	c=3 d=1.3017 t=20263
jiu xing 	就行	c=12 d=3.61407 t=20263
jiu xing le 	就行了	c=2 d=1.28397 t=20263
jiu xu 	就绪	c=1 d=0.168638 t=20263
jiu yong 	就用	c=1 d=0.814647 t=20263
jiu you 	就有	c=1 d=0.771052 t=20263
jiu zai 	就在	c=1 d=0.535261 t=20263
ju he 	聚合	c=1 d=0.794534 t=20263
ju jiao 	聚焦	c=1 d=0.155673 t=20263
ju jue 	拒绝	c=1 d=0.826959 t=20263
ju li 	举例	c=1 d=0.71177 t=20263
ju ti 	具体	c=6 d=2.00357 t=20263
jue de 	觉得	c=7 d=2.45116 t=20263
jue ding 	决定	c=1 d=0.571209 t=20263
ka 	卡	c=15 d=4.72118 t=20263
ka fei 	咖啡	c=5 d=4.42212 t=20263
ka si 	卡死	c=1 d=0.970446 t=20263
ka zai 	卡在	c=1 d=0.980199 t=20263
ka zhu 	卡住	c=6 d=3.45862 t=20263
kai 	开	c=31 d=5.69838 t=20263
kai bu qi lai 	开不起来	c=1 d=0.822835 t=20263
kai fa 	开发	c=12 d=5.19511 t=20263
kai fa ban ben 	开发版本	c=1 d=0.923116 t=20263
kai fang 	开放	c=2 d=1.53786 t=20263
kai ge 	开个	c=2 d=1.45227 t=20263
kai guan 	开关	c=3 d=1.81877 t=20263
kai hui 	开会	c=5 d=2.90143 t=20263
kai hui le 	开会了	c=4 d=3.49529 t=20263
kai ji 	开机	c=15 d=2.92708 t=20263
kai kai 	开开	c=1 d=0.909373 t=20263
kai le 	开了	c=4 d=1.94854 t=20263
kai mo er 	凯末尔	c=0 d=0.0810584 t=20263
kai mo er yi 	凯末尔已	c=1 d=0.814647 t=20263
kai qi 	开启	c=14 d=3.94074 t=20263
kai shang 	开上	c=1 d=0.362402 t=20263
kai shi 	开始	c=12 d=3.91624 t=20263
kai tou 	开头	c=2 d=1.67976 t=20263
kai xia 	开下	c=1 d=0.895834 t=20263
kai yuan 	开源	c=2 d=1.68836 t=20263
kan 	看	c=53 d=6.96605 t=20263
kan ba 	看吧	c=1 d=0.980199 t=20263
kan ban 	看板	c=4 d=2.94096 t=20263
kan bu chu 	看不出	c=1 d=0.634448 t=20263
kan bu chu lai 	看不出来	c=3 d=1.43878 t=20263
kan bu dong 	看不懂	c=1 d=0.927743 t=20263
kan chu 	看出	c=1 d=0.937067 t=20263
kan chu lai 	看出来	c=1 d=0.923116 t=20263
kan dao 	看到	c=8 d=2.7676 t=20263
kan dao le 	看到了	c=5 d=1.82295 t=20263
kan de 	看的	c=2 d=1.1619 t=20263
kan dong 	看懂	c=1 d=0.869358 t=20263
kan kan 	看看	c=62 d=7.0956 t=20263
kan lai 	看来	c=0 d=0.0913931 t=20263
kan le 	看了	c=4 d=1.83381 t=20263
kan ni 	看你	c=2 d=1.46038 t=20263
kan qi lai 	看起来	c=3 d=1.6909 t=20263
kan xia 	看下	c=41 d=6.45019 t=20263
kan yang zi 	看样子	c=1 d=0.904837 t=20263
kao lv 	考虑	c=2 d=1.38175 t=20263
